STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type,BASE_PER,Base period,PRICE_BASE,Price base
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,NLD,Netherlands,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2021,,9003,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,NLD,Netherlands,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2022,,8365,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,POL,Poland,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2015,,10863,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,POL,Poland,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2016,,11654.34,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,POL,Poland,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2017,,11968.72,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2023,,22432.96,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ESP,Spain,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,22291.74,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2015,,31283,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2017,,34173,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2018,,34533,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2019,,35017.39,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2021,,35022.13,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2023,,32457.47,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2015,,678884,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2016,,695796,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2017,,699003,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2018,,725106,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2019,,729541,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,727854,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2021,,747266,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2022,,724502,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2023,,719393,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,726636,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDA,OECD America,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2015,,351650,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDA,OECD America,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2016,,352987,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDA,OECD America,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2017,,343456,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDA,OECD America,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2018,,356533,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDA,OECD America,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2019,,347562,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDA,OECD America,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,344525,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDA,OECD America,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2021,,347053,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDA,OECD America,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2022,,347562,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDA,OECD America,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2023,,344525,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDA,OECD America,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,347053,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDSO,OECD Asia Oceania,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2015,,85554,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDSO,OECD Asia Oceania,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2016,,85182,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDSO,OECD Asia Oceania,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2017,,84507,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDSO,OECD Asia Oceania,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2018,,85660,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDSO,OECD Asia Oceania,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2019,,86287,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDSO,OECD Asia Oceania,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,86991,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDSO,OECD Asia Oceania,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2021,,87169,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDSO,OECD Asia Oceania,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2022,,86821,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDSO,OECD Asia Oceania,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2023,,85013,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDSO,OECD Asia Oceania,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,84601,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDE,OECD Europe,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2015,,274200,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDE,OECD Europe,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2016,,284717,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDE,OECD Europe,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2017,,286769,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDE,OECD Europe,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2018,,287796,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDE,OECD Europe,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2019,,290266,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDE,OECD Europe,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,297407,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDE,OECD Europe,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2021,,303564,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDE,OECD Europe,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2022,,290119,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDE,OECD Europe,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2023,,289855,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECDE,OECD Europe,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,294982,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,BIH,Bosnia and Herzegovina,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,1206.1473,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,BIH,Bosnia and Herzegovina,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2021,,1228.916,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,BIH,Bosnia and Herzegovina,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2022,,1184.449,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,BIH,Bosnia and Herzegovina,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2023,,1185.89865,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,CYP,Cyprus,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2022,,614.62,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,CYP,Cyprus,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,669.058,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,MNE,Montenegro,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2015,,309.741,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,MNE,Montenegro,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2016,,306.551,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,MNE,Montenegro,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2017,,304.824,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,MNE,Montenegro,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2018,,320.791,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,MNE,Montenegro,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2019,,338.706,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,MNE,Montenegro,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,302.084,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,MNE,Montenegro,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2021,,318.69,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,MNE,Montenegro,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2022,,331.5001,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,MNE,Montenegro,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2023,,353.447,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,MNE,Montenegro,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2024,,364.75,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,MKD,North Macedonia,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,913.03313,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
